"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
1, 0, 0.989825033159894, 0, 1.0364826918099, 51, 83, 0, 0.998288683768161, 0, 1.00487983998244, 610, 610
2, 0, 0.995876755233832, 0, 1.04401001397125, 51, 83, 0, 1.00488358985208, 0, 1.00975900102535, 610, 610
3, 0, 0.998288455178378, 0, 1.04740162852635, 51, 83, 0, 1.00750870947889, 0, 1.0117005250024, 610, 610
4, 0, 0.999488693250865, 0, 1.04908849516643, 51, 83, 0, 1.00881656427029, 0, 1.01266922762982, 610, 610
5, 0, 0.994677060547837, 0, 1.04231866350538, 51, 83, 0, 1.00357157079853, 0, 1.00878547777101, 610, 610
6, 0, 0.983847227938018, 0, 1.0335502309069, 51, 83, 0, 0.991734775650686, 0, 1.00013927145295, 610, 610
7, 0, 0.988269088918954, 0, 1.04169573206693, 51, 83, 0, 0.999508607859692, 0, 1.00780254499523, 610, 610
8, 0, 0.9977284470917, 0, 1.04622923836362, 32, 83, 0, 1.01382910245944, 0, 1.01851326798284, 610, 610
9, 0, 0.997619420534028, 0, 1.04452359711458, 32, 83, 0, 1.01690384056858, 0, 1.02096143525171, 610, 610
10, 0, 0.997200988470917, 0, 1.04242214478174, 51, 300, 0, 1.02143743364682, 0, 1.02341778581597, 610, 610
11, 0, 0.997053423966704, 2, 1.05025868298723, 33, 300, 0, 1.03052520440274, 0, 1.03322962468957, 610, 610
12, 0, 0.998304660026419, 3, 1.05516196868955, 33, 300, 0, 1.03297938742931, 0, 1.03637942090141, 610, 610
13, 0, 0.997999132477563, 2, 1.05130336295092, 33, 300, 0, 1.0336585612794, 0, 1.03827294710785, 610, 610
14, 0, 0.995131273297521, 0, 1.04904053073369, 33, 300, 0, 1.03033678443928, 0, 1.03571678976655, 610, 610
15, 0, 0.995970555577932, 0, 1.04959610125996, 33, 300, 0, 1.03097384435755, 0, 1.0364465610823, 610, 610
16, 0, 0.996755372524161, 0, 1.04515208561002, 11, 300, 0, 1.02861670146056, 0, 1.03278069401152, 610, 610
17, 0, 0.992217753424332, 0, 1.03839008933208, 51, 300, 0, 1.02096939855835, 0, 1.02298051828153, 610, 610
18, 0, 0.983116830440562, 0, 1.03338874511994, 51, 83, 0, 1.00372841942623, 0, 1.00944041185537, 610, 610
19, 0, 0.983923089599471, 0, 1.04338389846877, 51, 83, 0, 0.99385216838082, 0, 1.00704185747402, 610, 610
20, 0, 0.979886993918473, 0, 1.04709411015865, 65, 83, 0, 0.989361706215418, 0, 1.00518487429956, 610, 610
21, 0, 0.979053731757338, 0, 1.04989778426232, 65, 83, 0, 0.989648600765547, 0, 1.0070881692469, 610, 610
22, 0, 0.993422678974274, 0, 1.04545663438618, 65, 83, 0, 1.00075835490064, 0, 1.01341006643754, 610, 610
23, 0, 0.992788400368055, 0, 1.03880821893753, 11, 83, 0, 1.00312312412438, 0, 1.01169405767446, 610, 610
24, 0, 0.992374314708594, 0, 1.03478397649714, 9r, 83, 0, 1.00892928490056, 0, 1.01051070730798, 610, 610
